Useful regex
^;.*\([0-9]*,[0-9]*\)

The following list is built from scanning the current comments in the script files:

Akureyri(110,32)
Al Qatif-Port(245,131)
Alexandria(206,124)
Alexandria-Port(205,123)
Algiers(152,113)
Algiers-Port(152,112)
Amiens(151,81)
Antwerp(155,78)
Archangel(226,35)
Astrakhan(241,90)
Athens(193,109)
Auxerre(154,87)
Baghdad(234,120)
Baku(245,104)
Banja Luka(180,95)
Banska Bystrica(185,85)
Baranowicze(198,73)
Barcelona-Port(151,102)
Bardia(196,123)
Bari(180,103)
Batumi(229,101)
Bayonne(144,98)
Beirut(216,118)
Belfort(160,88)
Belgorod(219,80)
Belgrade is Axis(187,94)
Belgrade(187,94)
Benghazi(186,122)
Benghazi-Port(185,122)
Bergen(157,50)
Bergen-Port(156,51)
Berlin(173,74)
Besancon(158,89)
Bialystok(192,73)
Bihacs(178,95)
Bilbao-Port
Bitola(188,103)
Bologna(169,95)
Bordeaux(145,94)
Bordeaux-Port(145,93)
Borisoglebsk(229,78)
Boston(17,99)
Boston-Port(17,99)
Breslau(180,79)
Brest(138,86)
Brest-Litovsk(194,75)
Briey(158,83)
Bristol(142,78)
Bristol-Port(141,77)
Brussels(155,80)
Bucharest(198,95)
Budapest(184,88)
Buerat(177,123)
Bygoszcz(182,73)
Caen(146,84)
Cairo(208,126)
Cairo-Port(208,126)
Calais(151,79)
Caltanissetta(175,110)
Casablanca(131,119)
Cernauti(197,86)
Cetinje-Port(183,100)
Chalons(155,84)
Cherbourg(143,82)
Cherbourg-Port(144,82)
Cherepovets(221,54)
Cherkasy(210,83)
Ciudad-Rodrigo(133,104)
Cluj(193,89)
Cologne(160,79)
Constanta(202,96)
Copenhagen(171,65)
Copenhagen-Port(171,66)
Coventry(144,75)
Cuxhaven(164,71)
Cuxhaven-Port(163,71)
Damascus(218,119)
Danzig(183,69)
Debrecan(189,87)
Derna(191,120)
Dijon(156,88)
Dnepropetrovsk(215,85)
Dortmund(162,78)
Dublin(134,72)
Dubrovnik(182,99)
Dundee(140,63)
Dusseldorf(160,78)
East New York(11,103)
East of Warsaw(188,76)
Edinburgh(140,65)
El Agheila(184,126)
El Alamein(204,125)
Epinal(159,86)
Essen(161,77)
Evora(131,107)
Exeter(140,80)
France(40)
Frankfurt(164,81)
Gazala(192,122)
Genoa(164,95)
Genoa-Port(164,96)
Gibraltar(136,114)
Gibraltar-Port(137,114)
Glasgow(138,65)
Glasgow-Port(137,65)
Gorky(233,64)
Grenoble(158,93)
Grodno(193,71)
Grozny(236,98)
Halifax-Port(30,96)
Hamburg(166,72)
Hameenlinna(194,49)
Hanko(192,51)
Hanko-Port(192,52)
Helsinki(195,51)
Helsinki-Port(196,52)
Heraklion(196,116)
Homs(175,121)
Innsbruck(168,88)
Inverness(138,60)
Ioannina(188,107)
Istanbul(203,102)
Jerusalem(216,123)
Joensuu(205,43)
Johannisburg(190,71)
Kajaani(201,37)
Kalinin(217,62)
Kaluga(218,69)
Kamyshin(236,81)
Kandalaksha(210,24)
Kaunas(194,68)
Kazan(243,66)
Kem(214,34)
Kemijarvi(201,26)
Kerch(218,93)
Kestenga(208,30)
Kharkov(218,82)
Kherson(213,90)
Kiel(166,70)
Kiel-Port(167,69)
Kiev(207,80)
Kirovograd(210,86)
